artist,title,release_year,monthly_plays
Pink Floyd,Time,1973,2750000
Boston,More Than a Feeling,1975,1000500
Huey Lewis and the News,Do You Believe in Love,1981,975000
Boxcar Racer,Watch the World,2001,500000
Blink-182,I Miss You,2002,2200000
Incubus,Wish You Were Here,2001,1350000
Wave to Earth,Light,2019,675000
Clairo,Softly,2019,1500000
The Marias,Heavy,2021,1100000
John Prine,Mexican Home,1973,250000
Sturgill Simpson,Call to Arms,2016,175000
Allman Brothers Band,You Don't Love Me,1971,225000
Tory Lanez,The Color Violet,2021,3000000
The Weekend,Out of Time,2022,7000000
Drake,Passionfruit,2017,4250000
Red Hot Chili Peppers,Snow,2006,3350000
Green Day,Holiday,2017,2460000
Sum 41,In Too Deep,2000,1450000
Clamavi De Profundis,Earendillinwe,2021,220000
Clamavi De Profundis,Lament for Lalaith,2021,190000
Clamavi De Profundis,Namarie,2023,150000
Hozier,Too Sweet,2024,5000500
Teddy Swims,The Door,2023,3903000
Delta Rae,Bottom of the River,2012,162500
